,Area,Production,Rainfall,Season,Temperature,Crop
88893,10000.0,13237.0,262.47,Kharif,22.04333333333333,Maize
20471,103.0,6991.0,52.546358309633725,Whole Year,27.39775263620524,Sugarcane
53891,9141.0,24946.0,474.88699999999994,Summer,28.37425,Rice
44420,17900.0,5000.0,173.6296666666666,Kharif,26.73633333333333,Urad
66939,60.0,41.0,352.164,Kharif,26.25433333333333,Arhar/Tur
7826,90.0,100.0,41.086999999999996,Kharif,28.89666666666666,Arhar/Tur
100160,193466.0,356209.0,73.55833333333331,Kharif,27.59366666666667,Rice
55813,762.0,398.0,77.6655,Rabi,25.28475,Gram
25576,215.0,49.0,96.51827777777777,Whole Year,23.33511111111111,Dry chillies
32511,34000.0,45000.0,40.81574999999999,Rabi,23.07375,Wheat
84331,1.0,77012.30591908224,20.88175,Rabi,22.739,Moong(Green Gram)
86895,154.0,187.0,12.838,Rabi,23.15875,Rapeseed &Mustard
99158,8783.0,18673.0,85.7456666666667,Kharif,29.01033333333334,Rice
2032,136174.0,252465.0,92.52366666666668,Kharif,29.30266666666667,Rice
11009,19428.0,46899.0,91.9935,Rabi,24.19925,Groundnut
11506,81.0,77012.30591908224,71.02166666666666,Kharif,28.289,Sesamum
46230,1551.0,318.0,13.6925,Winter,24.2535,Urad
41757,6338.0,10681.0,139.4316666666667,Kharif,26.54,Maize
105959,528.0,4140.6,23.1925,Winter,21.77725,Potato
63393,2300.0,2000.0,120.36200000000001,Kharif,27.642,Jowar
34172,90.0,253.0,16.97175,Rabi,19.794,Maize
12816,8.0,676.0,84.27704457535768,Whole Year,27.14834821524662,Sugarcane
93988,163.0,518.0,177.88925,Whole Year,22.78983333333333,Onion
66507,4822.0,5454.0,19.34925,Rabi,20.7805,Rapeseed &Mustard
61510,45000.0,7200.0,108.92,Kharif,26.02166666666666,Moong(Green Gram)
19154,42.0,11.0,182.31866666666667,Kharif,20.915,Moong(Green Gram)
92581,54400.0,119300.0,129.5823333333333,Kharif,25.746,Maize
14205,1747.0,14899.0,114.5396864148468,Whole Year,26.997990245370822,Potato
73900,961.0,781.0,149.21375,Summer,30.285999999999998,Moong(Green Gram)
21870,132256.0,74989.0,13.258,Rabi,21.373,Wheat
82101,2800.0,20468.0,46.35874999999999,Rabi,23.09625,Maize
50015,85.0,128.0,23.02425,Rabi,19.24675,Maize
96002,50.0,15.8,52.8835,Autumn,24.6555,Sesamum
11490,132.0,1861.0,56.84059085648147,Whole Year,28.360134259259247,Onion
101532,73000.0,119200.0,140.439,Kharif,25.90166666666667,Rice
47524,1100.0,5760.0,249.12887065972214,Whole Year,21.308416184413574,Potato
31234,90.0,1062.0,55.30631842414985,Whole Year,28.35869425512709,Potato
74745,22.0,147.0,99.68983333333334,Whole Year,24.61758333333333,Potato
45127,59276.0,200000.0,84.28733333333334,Kharif,27.836,Rice
54285,66300.0,31800.0,149.02200000000005,Kharif,26.456,Arhar/Tur
47473,95.0,59.0,191.94875,Summer,30.36775,Moong(Green Gram)
34897,28.0,570.0,4.87575,Rabi,20.60525,Onion
103112,447.0,193.0,157.5776666666667,Kharif,26.74966666666667,Arhar/Tur
14672,545.0,131.9,30.75475,Winter,22.30775,Sesamum
12501,20.0,258.0,174.5416463027068,Whole Year,19.31637537542063,Potato
104825,3.0,2.0,130.08333333333331,Kharif,28.52366666666667,Groundnut
50847,415.0,27602.1,5.9145,Winter,22.6105,Sugarcane
28050,2600.0,400.0,25.80025,Rabi,23.95425,Gram
43314,2.0,6.0,22.631999999999998,Rabi,20.269000000000002,Maize
74595,76.0,39.0,176.3,Summer,28.77225,Urad
61601,33.0,37.0,134.4463333333333,Kharif,26.877,Arhar/Tur
6368,3966.0,1206.0,20.73425,Rabi,19.42325,Rapeseed &Mustard
92712,2866.0,1476.0,185.2733333333333,Kharif,28.15433333333333,Arhar/Tur
104062,9900.0,661200.0,185.3756666666667,Kharif,26.54333333333333,Sugarcane
16737,294107.0,535580.0,6.03375,Winter,20.5765,Rice
2216,3284.0,2480.0,134.115,Kharif,25.908,Arhar/Tur
93225,1490.0,23400.0,37.39547337962963,Whole Year,27.42003587962963,Potato
92832,3249.0,1800.0,71.47375,Rabi,24.92175,Jowar
95787,2730.0,8896.0,197.085,Summer,29.604,Maize
101554,372.0,174.0,92.4412011946328,Whole Year,28.72870495648921,Dry chillies
67471,788.0,1802.0,62.82525,Rabi,24.278000000000002,Dry chillies
71514,1.0,0.8,5.8085,Winter,21.4125,Maize
2495,12470.0,7320.0,148.4296666666667,Kharif,26.67866666666667,Arhar/Tur
92374,42300.0,53260.0,19.122,Rabi,22.97325,Wheat
44973,160752.0,486977.0,9.75525,Rabi,19.54875,Wheat
56854,5413.0,12250.0,117.139,Kharif,28.84066666666666,Maize
73641,85000.0,192000.0,6.4522499999999985,Winter,22.576,Rice
27310,300.0,190.0,236.8913333333333,Kharif,20.391,Sesamum
36048,47841.0,100549.0,13.1485,Rabi,19.70325,Wheat
98544,80000.0,382000.0,5.057250000000002,Rabi,19.87725,Wheat
90666,3350.0,2121.0,13.93775,Rabi,19.647000000000002,Rapeseed &Mustard
20202,4.0,2.0,69.48400000000001,Kharif,26.198,Groundnut
78633,218.0,3500.0,39.35209259259259,Whole Year,27.44803877314816,Potato
21100,25800.0,27800.0,52.7415,Rabi,24.96975,Wheat
10272,2900.0,1900.0,37.001999999999995,Kharif,29.013333333333332,Jowar
73473,1164.0,2715.0,15.294,Rabi,24.25375,Maize
7435,1376.0,1958.0,25.18025,Rabi,20.34825,Rapeseed &Mustard
21423,19000.0,6000.0,123.64825,Rabi,22.6425,Moong(Green Gram)
1928,25386.0,41161.0,5.73175,Rabi,17.1465,Wheat
83691,243.0,62.0,105.3743333333334,Kharif,26.684,Moong(Green Gram)
